Address,Property URL,City,Lot Size (AC),Price,Property Type,
4231 42nd Ave,https://www.loopnet.com/Listing/Centerplace-Dr-Greeley-CO/21352202/,"Greeley, CO 80634",1.4," $1,357,067.40 ",Commercial Lot,
Chambers & E-470 Retail,https://www.loopnet.com/Listing/Chambers-E-470-Retail-Parker-CO/16914574/,"Parker, CO 80134",1.41," $1,363,543.66 ",Commercial Lots,
13987 Foster ct,https://www.loopnet.com/Listing/13987-Foster-ct-Longmont-CO/34579366/,"Longmont, CO 80504",1.42," $1,370,019.92 ",Commercial Lot,
765 Aspen Ridge Drive Dr,https://www.loopnet.com/Listing/765-Aspen-Ridge-Drive-Dr-Lafayette-CO/32931931/,"Lafayette, CO 80026",1.43," $556,000.00 ",Commercial Lot,
11905 6th Avenue,https://www.loopnet.com/Listing/11905-6th-Avenue-Lakewood-CO/32792253/,"Lakewood, CO 80401",1.43," $2,400,000.00 ",Commercial Lot,
McIntyre St & W 3rd Place,https://www.loopnet.com/Listing/McIntyre-St-W-3rd-Place-Golden-CO/32392146/,"Golden, CO 80401",1.47," $1,025,000.00 ",Industrial Lot,
SEC Northwest Parkway & Via Varra,https://www.loopnet.com/Listing/SEC-Northwest-Parkway-Via-Varra-Broomfield-CO/38393099/,"Broomfield, CO 80020",1.55," $1,454,211.30 ",Commercial Lot,
2115 Apex Drive,https://www.loopnet.com/Listing/Apex-Drive-Windsor-CO/33598205/,"Windsor, CO 80550",1.58," $4,649,196.00 ",Commercial Lots,
4660 N Nevada Ave,https://www.loopnet.com/Listing/4660-N-Nevada-Ave-Colorado-Springs-CO/38660004/,"Colorado Springs, CO 80918",1.61," $1,493,068.86 ",Commercial Lot,
ENT Parkway & Federal Dr,https://www.loopnet.com/Listing/ENT-Parkway-Federal-Dr-Colorado-Springs-CO/32878482/,"Colorado Springs, CO 80921",1.62," $1,050,000.00 ",Commercial Lot,
6428 E Crossroads Blvd,https://www.loopnet.com/Listing/6428-E-Crossroads-Blvd-Loveland-CO/33599069/,"Loveland, CO 80538",1.62," $1,550,208.00 ",Commercial Lots,
15490 E 120th Ave,https://www.loopnet.com/Listing/15490-E-120th-Ave-Commerce-City-CO/34578476/,"Commerce City, CO 80022",1.65," $1,110,401.15 ",Commercial Lot,
150 S Potomac St,https://www.loopnet.com/Listing/150-S-Potomac-St-Aurora-CO/31718288/,"Aurora, CO 80012",1.69," $1,121,690.39 ",Commercial Lot,
8770 Yosemite St,https://www.loopnet.com/Listing/8770-Yosemite-St-Commerce-City-CO/35507036/,"Commerce City, CO 80022",1.71," $1,100,000.00 ",Commercial Lot,
NWC Centennial Dr,https://www.loopnet.com/Listing/NWC-Centennial-Dr-Johnstown-CO/25065902/,"Johnstown, CO 80534",1.74," $911,624.00 ",Commercial Lot,
6109 W 48th Ave,https://www.loopnet.com/Listing/6109-W-48th-Ave-Wheat-Ridge-CO/32583003/,"Wheat Ridge, CO 80033",1.76," $1,141,446.56 ",Commercial Lot,
14061 63rd pl,https://www.loopnet.com/Listing/14061-63rd-pl-Arvada-CO/33466702/,"Arvada, CO 80004",1.77," $1,155,435.00 ",Commercial Lot,
NWC E-470 & Parker Rd Rd,https://www.loopnet.com/Listing/NWC-E-470-Parker-Rd-Rd-Parker-CO/30755480/,"Parker, CO 80138",1.79," $1,953,666.00 ",Commercial Lot,
691 S Arthur Ave,https://www.loopnet.com/Listing/691-S-Arthur-Ave-Louisville-CO/28363665/,"Louisville, CO 80027",1.82," $770,000.00 ",Industrial Lot,
I-25 And Castle Pines Parkway,https://www.loopnet.com/Listing/I-25-And-Castle-Pines-Parkway-Castle-Rock-CO/32045010/,"Castle Rock, CO 80108",1.89," $2,000,000.00 ",Commercial Lot,
980 Dublin Blvd,https://www.loopnet.com/Listing/980-Dublin-Blvd-Colorado-Springs-CO/29511878/,"Colorado Springs, CO 80918",1.91," $1,687,356.66 ",Commercial Lot,
I-25 & 136th Ave,https://www.loopnet.com/Listing/I-25-136th-Ave-Thornton-CO/26909199/,"Thornton, CO 80234",1.98," $1,203,537.38 ",Commercial Lots,
376 Midden Pl,https://www.loopnet.com/Listing/Front-St-Castle-Rock-CO/14683134/,"Castle Rock, CO 80104",1.98," $1,732,690.48 ",Commercial Lot,
5480 Montana Vista Way,https://www.loopnet.com/Listing/5480-Montana-Vista-Way-Castle-Rock-CO/31324562/,"Castle Rock, CO 80108",2," $1,745,643.00 ",Commercial Lots,
10485 Iron Star Pt,https://www.loopnet.com/Listing/TBD-Old-Ranch-Pad-Sites-Colorado-Springs-CO/32159845/,"Colorado Springs, CO 80908",2," $1,745,643.00 ",Commercial Lot,
10012 N 119th St,https://www.loopnet.com/Listing/10012-N-119th-St-Longmont-CO/39627038/,"Longmont, CO 80501",2," $1,745,643.00 ",Commercial Lots,
